gpt-image-1.5-2025-12-16,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 32.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 6.4000,DefaultSVIP
kimi-k2-0905,Pay-per-use - Chat,Suggested price: $ 0.6000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.3 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
qwen3-30b-a3b-thinking-2507,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 12.0000,DefaultSVIPChinaOpenSource
claude-3-5-sonnet-20241022,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
doubao-seed-1-6-250615,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 10.0000,DefaultSVIP
grok-3-fast,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 25.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 5.0000,DefaultSVIP
grok-code-fast-1,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 7.5000,DefaultSVIP
o3-pro-2025-06-10,Pay-per-use - Chat,Suggested price: $ 20.0000 / 1M tokens Completion price: $ 80.0000 / 1M tokens,Prompt multiplier: 10 Completion ratio: 4.0000,DefaultSVIP
tts-1-hd-1106,Pay-per-use - Chat,Suggested price: $ 60.0000 / 1M tokens Completion price: $ 60.0000 / 1M tokens,Prompt multiplier: 30 Completion ratio: 1.0000,DefaultSVIP
doubao-seed-1-6-thinking-250615,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 10.0000,DefaultSVIP
gemini-3-pro-preview,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 12.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 6.0000,DefaultSVIP
glm-4.5-flash,Pay-per-use - Chat,Suggested price: $ 0.0100 / 1M tokens Completion price: $ 0.0400 / 1M tokens,Prompt multiplier: 0.005 Completion ratio: 4.0000,DefaultSVIP
gpt-5.2-high,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
qwen2.5-vl-72b-instruct,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 6.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 3.0000,DefaultSVIPChinaOpenSource
qwen2.5-vl-7b-instruct,Pay-per-use - Chat,Suggested price: $ 0.1400 / 1M tokens Completion price: $ 0.7000 / 1M tokens,Prompt multiplier: 0.07 Completion ratio: 5.0000,DefaultSVIPChinaOpenSource
doubao-seed-1-6-thinking-250715,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 10.0000,DefaultSVIP
gemini-2.5-flash-preview-09-2025,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-5-codex-mini-medium,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 1.0000,DefaultSVIP
gpt-5-mini-2025-08-07,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 8.0000,DefaultSVIP
grok-3-latest,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
qwen3-32b,Pay-per-use - Chat,Suggested price: $ 0.4000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 0.2 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
deepseek-r1-250528,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
gemini-2.5-flash-preview-05-20-nothinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
qvq-plus-2025-05-15,Pay-per-use - Chat,Suggested price: $ 0.2800 / 1M tokens Completion price: $ 0.7000 / 1M tokens,Prompt multiplier: 0.14 Completion ratio: 2.5000,DefaultSVIP
qwen3-coder-plus-2025-07-22,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 10.0000,DefaultSVIP
tts-1-1106,Pay-per-use - Chat,Suggested price: $ 30.0000 / 1M tokens Completion price: $ 30.0000 / 1M tokens,Prompt multiplier: 15 Completion ratio: 1.0000,DefaultSVIP
claude-opus-4-20250514-thinking,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 75.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 5.0000,DefaultSVIP
cld-sonnet-4-20250514-thinking,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
deepseek-chat,Pay-per-use - Chat,Suggested price: $ 0.2500 / 1M tokens Completion price: $ 1.0000 / 1M tokens,Prompt multiplier: 0.125 Completion ratio: 4.0000,DefaultSVIP
gpt-4o-mini-2024-07-18,Pay-per-use - Chat,Suggested price: $ 0.1500 / 1M tokens Completion price: $ 0.6000 / 1M tokens,Prompt multiplier: 0.075 Completion ratio: 4.0000,DefaultSVIP
gpt-5.1-codex-max-medium,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 6.2500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 5.0000,DefaultSVIP
Model Name,Billing type,Price,Magnification,Grouping
grok-4-1-thinking-1108b,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultSVIP
grok-4-1-thinking-1129-all,Pay-per-use - Chat,$ 0.1000 / time,-,DefaultSVIP
grok-4-all,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
nano-banana,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultNanoBanana企业SVIP
nano-banana-oss,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultNanoBanana企业SVIP
nano-banana-pro,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultNanoBanana企业SVIP
seedream-4-0-250828,Pay-per-use - Chat,$ 0.0350 / time,-,DefaultSVIP
seedream-4-5-251128,Pay-per-use - Chat,$ 0.0450 / time,-,DefaultSVIP
sora-2,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora-2-character,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIPSora2
sora-2-pro,Pay-per-use - Chat,$ 0.8000 / time,-,DefaultSVIPSora2
sora-2-remix,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora-character,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIPSora2
sora-image,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
sora_image,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
sora_video2,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-15s,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-15s-openaicdn,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-landscape,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-landscape-15s,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-landscape-15s-openaicdn,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-landscape-openaicdn,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
sora_video2-openaicdn,Pay-per-use - Chat,$ 0.1200 / time,-,DefaultSVIPSora2
veo-3.1,Pay-per-use - Chat,$ 0.2500 / time,-,DefaultSVIP
veo-3.1-fast,Pay-per-use - Chat,$ 0.1500 / time,-,DefaultSVIP
veo-3.1-fast-fl,Pay-per-use - Chat,$ 0.1500 / time,-,DefaultSVIP
veo-3.1-fl,Pay-per-use - Chat,$ 0.2500 / time,-,DefaultSVIP
veo-3.1-landscape,Pay-per-use - Chat,$ 0.2500 / time,-,DefaultSVIP
veo-3.1-landscape-fast,Pay-per-use - Chat,$ 0.1500 / time,-,DefaultSVIP
veo-3.1-landscape-fast-fl,Pay-per-use - Chat,$ 0.1500 / time,-,DefaultSVIP
veo-3.1-landscape-fl,Pay-per-use - Chat,$ 0.2500 / time,-,DefaultSVIP
Model Name,Billing type,Price,Magnification,Grouping
Model Name,Billing type,Price,Magnification,Grouping
gpt-image-1.5,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 32.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 6.4000,DefaultSVIP
grok-code-fast,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 1.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 7.5000,DefaultSVIP
o1,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 60.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 4.0000,DefaultSVIP
claude-opus-4-1-20250805,Pay-per-use - Chat,Suggested price: $ 15.0000 / 1M tokens Completion price: $ 75.0000 / 1M tokens,Prompt multiplier: 7.5 Completion ratio: 5.0000,DefaultSVIP
DeepSeek-V3.2-Exp-nothinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 0.4500 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 1.5000,DefaultSVIP
gpt-4o-2024-08-06,Pay-per-use - Chat,Suggested price: $ 2.5000 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 1.25 Completion ratio: 4.0000,DefaultSVIP
cld-3-7-sonnet-20250219,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-flash-lite-preview-06-17,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gemini-2.5-pro-preview-06-05-nothinking,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gemini-3-flash-preview-thinking,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 3.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 6.0000,DefaultSVIP
gpt-5-nano,Pay-per-use - Chat,Suggested price: $ 0.0500 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.025 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-chat-latest,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
gpt-5.1-codex-max-xhigh,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
cld-sonnet-4-20250514,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gpt-5-codex-high,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 10.0000 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 8.0000,DefaultSVIP
grok-4-auto,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
llama-3-3-70b-instruct,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.3000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 3.0000,DefaultSVIP
qwen2.5-72b-instruct,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIPChinaOpenSource
qwen3-coder,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 10.0000,DefaultSVIPChinaOpenSource
claude-sonnet-4-20250514,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.5-pro-preview-tts,Pay-per-use - Chat,Suggested price: $ 1.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 0.5 Completion ratio: 20.0000,DefaultSVIP
grok-4-0709,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
qwen-mt-plus,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 8.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 4.0000,DefaultSVIP
claude-opus-4-5-20251101-thinking,Pay-per-use - Chat,Suggested price: $ 5.0000 / 1M tokens Completion price: $ 25.0000 / 1M tokens,Prompt multiplier: 2.5 Completion ratio: 5.0000,DefaultSVIP
gemini-2.0-flash,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
gpt-5.2-codex,Pay-per-use - Chat,Suggested price: $ 1.7500 / 1M tokens Completion price: $ 14.0000 / 1M tokens,Prompt multiplier: 0.875 Completion ratio: 8.0000,DefaultSVIP
moonshot-v1-32k-vision-preview,Pay-per-use - Chat,Suggested price: $ 4.0000 / 1M tokens Completion price: $ 4.0000 / 1M tokens,Prompt multiplier: 2 Completion ratio: 1.0000,DefaultSVIP
qwen2-72b-instruct,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIP
qwen2.5-7b-instruct,Pay-per-use - Chat,Suggested price: $ 2.8572 / 1M tokens Completion price: $ 2.8572 / 1M tokens,Prompt multiplier: 1.4286 Completion ratio: 1.0000,DefaultSVIPChinaOpenSource
qwen-vl-ocr-2025-11-20,Pay-per-use - Chat,Suggested price: $ 0.0440 / 1M tokens Completion price: $ 0.0735 / 1M tokens,Prompt multiplier: 0.022 Completion ratio: 1.6700,DefaultSVIP
qwen3-coder-plus-2025-09-23,Pay-per-use - Chat,Suggested price: $ 2.0000 / 1M tokens Completion price: $ 20.0000 / 1M tokens,Prompt multiplier: 1 Completion ratio: 10.0000,DefaultSVIP
gpt-5.1-codex-max-low,Pay-per-use - Chat,Suggested price: $ 1.2500 / 1M tokens Completion price: $ 3.7500 / 1M tokens,Prompt multiplier: 0.625 Completion ratio: 3.0000,DefaultSVIP
grok-4-1-fast-non-reasoning-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.5000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 2.5000,DefaultSVIP
o3-2025-04-16,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 12.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 4.0000,DefaultSVIP
o3-pro,Pay-per-use - Chat,Suggested price: $ 20.0000 / 1M tokens Completion price: $ 80.0000 / 1M tokens,Prompt multiplier: 10 Completion ratio: 4.0000,DefaultSVIP
qvq-plus,Pay-per-use - Chat,Suggested price: $ 0.2800 / 1M tokens Completion price: $ 0.7000 / 1M tokens,Prompt multiplier: 0.14 Completion ratio: 2.5000,DefaultSVIP
qwen3-next-80b-a3b-instruct,Pay-per-use - Chat,Suggested price: $ 0.1400 / 1M tokens Completion price: $ 0.5600 / 1M tokens,Prompt multiplier: 0.07 Completion ratio: 4.0000,DefaultSVIPChinaOpenSource
text-embedding-3-large,Pay-per-use - Chat,Suggested price: $ 0.1300 / 1M tokens Completion price: $ 0.1300 / 1M tokens,Prompt multiplier: 0.065 Completion ratio: 1.0000,DefaultSVIP
deepseek-reasoner,Pay-per-use - Chat,Suggested price: $ 0.5000 / 1M tokens Completion price: $ 2.0000 / 1M tokens,Prompt multiplier: 0.25 Completion ratio: 4.0000,DefaultSVIP
gemini-2.5-flash-nothinking,Pay-per-use - Chat,Suggested price: $ 0.3000 / 1M tokens Completion price: $ 2.4000 / 1M tokens,Prompt multiplier: 0.15 Completion ratio: 8.0000,DefaultSVIP
gpt-4.1-nano-2025-04-14,Pay-per-use - Chat,Suggested price: $ 0.1000 / 1M tokens Completion price: $ 0.4000 / 1M tokens,Prompt multiplier: 0.05 Completion ratio: 4.0000,DefaultSVIP
grok-4-1-thinking-1108b,Pay-per-use - Chat,Suggested price: $ 3.0000 / 1M tokens Completion price: $ 15.0000 / 1M tokens,Prompt multiplier: 1.5 Completion ratio: 5.0000,DefaultSVIP
qwen-vl-max-latest,Pay-per-use - Chat,Suggested price: $ 0.2000 / 1M tokens Completion price: $ 0.8000 / 1M tokens,Prompt multiplier: 0.1 Completion ratio: 4.0000,DefaultSVIP
claude-haiku-4-5-20251001-all,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
claude-haiku-4-5-20251001-thinking-all,Pay-per-use - Chat,$ 0.0150 / time,-,DefaultSVIP
claude-sonnet-4-5-20250929-all,Pay-per-use - Chat,$ 0.0150 / time,-,DefaultSVIP
claude-sonnet-4-5-20250929-thinking-all,Pay-per-use - Chat,$ 0.0200 / time,-,DefaultSVIP
flux-2-flex,Pay-per-use - Chat,$ 0.0350 / time,-,DefaultSVIP
flux-2-max,Pay-per-use - Chat,$ 0.0700 / time,-,DefaultSVIP
flux-2-pro,Pay-per-use - Chat,$ 0.0350 / time,-,DefaultSVIP
flux-dev,Pay-per-use - Chat,$ 0.0200 / time,-,DefaultSVIP
flux-kontext-max,Pay-per-use - Chat,$ 0.0700 / time,-,DefaultSVIP
flux-kontext-pro,Pay-per-use - Chat,$ 0.0350 / time,-,DefaultSVIP
flux-pro,Pay-per-use - Chat,$ 0.0400 / time,-,DefaultSVIP
flux-pro-1.1,Pay-per-use - Chat,$ 0.0350 / time,-,DefaultSVIP
flux-pro-1.1-ultra,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultSVIP
gemini-2.5-flash-image,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultNanoBanana企业SVIP
gemini-2.5-flash-image-oss,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultNanoBanana企业SVIP
gemini-2.5-flash-image-preview,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultNanoBanana企业SVIP
gemini-2.5-flash-image-preview-oss,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultNanoBanana企业SVIP
gemini-3-pro-image-preview,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultNanoBanana企业SVIP
gemini-3-pro-image-preview-1k,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultNanoBanana企业SVIP
gemini-3-pro-image-preview-2k,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultNanoBanana企业SVIP
gemini-3-pro-image-preview-4k,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultNanoBanana企业SVIP
gemini-3-pro-image-preview-oss,Pay-per-use - Chat,$ 0.0500 / time,-,DefaultNanoBanana企业SVIP
gpt-4o-all,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
gpt-4o-image,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
gpt-4o-image-vip,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
gpt-5-codex-high,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultSVIP
gpt-5.1-codex-max-low,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
gpt-5.1-codex-max-xhigh,Pay-per-use - Chat,$ 0.0250 / time,-,DefaultSVIP
gpt-5.2-all,Pay-per-use - Chat,$ 0.1000 / time,-,DefaultSVIP
gpt-image-1.5-all,Pay-per-use - Chat,$ 0.0100 / time,-,DefaultSVIP
grok-2-image,Pay-per-use - Chat,$ 0.0700 / time,-,DefaultSVIP
